API 10/UWI,OFS Region,State/Province,County/Parish,District,Land/Offshore,Contractor Name,Rig Name/Number,Draw Works,Rated HP,Power Type,Mobility,Operator Name,Lease Name,Well Number,Spud Date,Rig Latitude (WGS84),Rig Longitude (WGS84),Permit Number,Permit Approval Date,Permit Posted Date,Permit Depth,Permit Type,Well Type,Drill Type,Field,Formation,Formation Depth,Section,Township,Range,Block,Survey,Abstract,H2S Area,Contractor Contact,Contractor phone,Contractor Email,Contractor Address,Contractor City,Contractor State,Contractor Zip,Contractor Website,Operator Contact,Operator Phone,Operator Address,Operator City,Operator State,Operator Zip,Temporary Location,Directions to Location,Rig ID
3002544580,PERMIAN BASIN,New Mexico,LEA (NM),SE,land,"Helmerich & Payne, Inc.",H&P 653,VARCO ADS-20SD,1500,AC,Skid,"EOG RESOURCES, INC",CONDOR 32 STATE,740H,5/11/2018,32.0800742,-103.4922449,TEMP1954695030,3/9/2018,,17914,NewDrill,OIL,H,BOBCAT DRAW,UPPER WOLFCAMP,0,32,25S,34.0E,,,,,Clyde Hebert,918-742-5531,Clyde.Hebert@hpidc.com,1437 South Boulder Ave,Tulsa,OK,74119,http://www.hpinc.com,STAN WAGNER,,PO BOX 2267 ,MIDLAND,TX,79702,N,"1. Head south on Main St toward E Ave D (Distance: 19.7 feet, Est. Time: 0:00:01); 2. Continue straight to stay on Main StPass by Wells Fargo Bank (on the left) (Distance: 1.0 miles, Est. Time: 0:02:26); 3. Turn right onto NM-483/W Ave R (Distance: 1033.5 feet, Est. Time: 0:00:40); 4. Turn left onto NM-483 (Distance: 16.0 miles, Est. Time: 0:16:44); 5. Turn left onto US-180 E/US-62 E (Distance: 5.0 miles, Est. Time: 0:04:41); 6. Turn right onto NM-8 S (Distance: 15.7 miles, Est. Time: 0:16:36); 7. Turn right onto NM-176 W (Distance: 2.0 miles, Est. Time: 0:02:18); 8. Turn left onto Weaver Rd (Distance: 5.0 miles, Est. Time: 0:05:57); 9. Turn right onto Delaware Basin Rd (Distance: 24.6 miles, Est. Time: 0:26:35); 10. Turn left onto NM-128 E (Distance: 6.5 miles, Est. Time: 0:06:26); 11. Turn right onto Battle Axe Rd (Distance: 0.3 miles, Est. Time: 0:00:55); 12. Turn right to stay on Battle Axe Rd (Distance: 2.6 miles, Est. Time: 0:04:26); 13. Turn right to stay on Battle Axe Rd (Distance: 7.2 miles, Est. Time: 0:12:08); 14. Turn left (Distance: 1.0 miles, Est. Time: 0:03:56); Total Distance: 87.4 miles, Total Est. Time: 1:43:49; Rig is located 0.4 miles to the NE.",5412
3002544232,PERMIAN BASIN,New Mexico,LEA (NM),SE,land,Scandrill,Scan Quest,Oil Works OWI-1600,1500,,Walking,COG OPERATING LLC,GETTYSBURG STATE COM,015H,5/20/2018,32.311658,-103.4784563,TEMP1287527376,11/30/2017,,18933,NewDrill,OIL,H,ANTELOPE RIDGE,BONE SPRING,0,16,23.0S,34.0E,,,,,Torrey Mosvold,(903) 597-5368,tmosvold@scandrill.com,9395 Hwy 2767,Tyler,TX,75708,http://www.scandrill.com,DIANE KUYKENDALL,,ONE CONCHO CENTER 600 W. ILLINOIS AVE,MIDLAND,TX,79701,N,"1. Head south on Main St toward E Ave D (Distance: 19.7 feet, Est. Time: 0:00:01); 2. Continue straight to stay on Main StPass by Wells Fargo Bank (on the left) (Distance: 1.0 miles, Est. Time: 0:02:26); 3. Turn right onto NM-483/W Ave R (Distance: 1033.5 feet, Est. Time: 0:00:40); 4. Turn left onto NM-483 (Distance: 16.0 miles, Est. Time: 0:16:44); 5. Turn left onto US-180 E/US-62 E (Distance: 5.0 miles, Est. Time: 0:04:41); 6. Turn right onto NM-8 S (Distance: 15.7 miles, Est. Time: 0:16:36); 7. Turn right onto NM-176 W (Distance: 2.0 miles, Est. Time: 0:02:18); 8. Turn left onto Weaver Rd (Distance: 5.0 miles, Est. Time: 0:05:57); 9. Turn right onto Delaware Basin Rd (Distance: 14.4 miles, Est. Time: 0:15:11); 10. Turn left onto Antelope Rd/County Rd 21-B (Distance: 1.0 miles, Est. Time: 0:01:58); Total Distance: 60.5 miles, Total Est. Time: 1:06:32; Rig is located 0.6 miles to the W.",5793
3002544618,PERMIAN BASIN,New Mexico,LEA (NM),SE,land,"Cactus Drilling Company, LLC",Cactus 171,Alta Rig ARS-1813-AC,1800,,Walking,KAISER-FRANCIS OIL CO,BELL LAKE UNIT SOUTH,330H,5/4/2018,32.2451821,-103.5024962,TEMP1508030979,3/28/2018,,19500,NewDrill,OIL,H,BELL LAKE,BONE SPRING,0,6,23S,34.0E,,,,,Brad Abretske,405-577-5347,bradA@kfoc.com,8300 SW 15th,Oklahoma City,OK,73128,http://www.cactusdrilling.com,KRISTIN L GRAY,,PO BOX 21468 ,TULSA,OK,74121,N,"1. Head south on Main St toward E Ave D (Distance: 19.7 feet, Est. Time: 0:00:01); 2. Continue straight to stay on Main StPass by Wells Fargo Bank (on the left) (Distance: 1.0 miles, Est. Time: 0:02:26); 3. Turn right onto NM-483/W Ave R (Distance: 1033.5 feet, Est. Time: 0:00:40); 4. Turn left onto NM-483 (Distance: 16.0 miles, Est. Time: 0:16:44); 5. Turn left onto US-180 E/US-62 E (Distance: 5.0 miles, Est. Time: 0:04:41); 6. Turn right onto NM-8 S (Distance: 15.7 miles, Est. Time: 0:16:36); 7. Turn right onto NM-176 W (Distance: 2.0 miles, Est. Time: 0:02:18); 8. Turn left onto Weaver Rd (Distance: 5.0 miles, Est. Time: 0:05:57); 9. Turn right onto Delaware Basin Rd (Distance: 21.6 miles, Est. Time: 0:22:55); 10. Turn left onto County Rd 21-B/J-21/Shell Rd (Distance: 0.9 miles, Est. Time: 0:01:27); 11. Turn right (Distance: 0.3 miles, Est. Time: 0:01:07); Total Distance: 67.8 miles, Total Est. Time: 1:14:52; Rig is located 0.8 miles to the SW.",5796
3002543473,PERMIAN BASIN,New Mexico,LEA (NM),SE,land,McVay Drilling Company,McVay 2,National P-110-UE,1500,,,"MESQUITE SWD, INC",STATION SWD,001,5/6/2018,32.2320531,-103.715591,TEMP665933958,11/11/2016,,17975,NewDrill,SALTWATER INJECTION,V,SWD,DEVONIAN-SILURIAN,0,7,24.0S,32.0E,,,,,Michael McVay,675-397-3311,michael.mcvay@mcvaydrilling.com,401 E. Bender,Hobbs,NM,88241,http://www.cal-ray.com,KAY HAVENOR,5757067288,PO BOX 1479 ,CARLSBAD,NM,88221,N,1. Head south on Main St towar,5698
3001544597,PERMIAN BASIN,New Mexico,EDDY (NM),SE,land,"Patterson-UTI Drilling Company, LLC",Patterson 810,Alta Rig 1513,1500,AC,Walking,MATADOR PRODUCTION COMPANY,BRANTLEY STATE COM 13 24 27 RB,206H,5/8/2018,32.21942,-104.1361683,TEMP1025057671,12/8/2017,,14200,NewDrill,GAS,H,PURPLE SAGE,WOLFCAMP,0,13,24.0S,27.0E,,,,,,281-765-7100,,"450 Gears Road, Ste 500",Houston,TX,77067,http://www.patenergy.com,AVA MONROE,,"ONE LINCOLN CENTRE 5400 LBJ FREEWAY, STE 1500",DALLAS,TX,75240,N,"1. Head north on N Canal St toward W Stevens St (Distance: 305.1 feet, Est. Time: 0:00:12); 2. Turn left onto W Stevens St (Distance: 219.8 feet, Est. Time: 0:00:21); 3. Turn left at the 1st cross street toward W Mermod St (Distance: 429.8 feet, Est. Time: 0:01:08); 4. Turn left at the 1st cross street onto W Mermod St (Distance: 180.4 feet, Est. Time: 0:00:20); 5. Turn right at the 1st cross street onto S Canal St/US Hwy 285 SContinue to follow US Hwy 285 SPass by O'Reilly Auto Parts (on the right) (Distance: 2.2 miles, Est. Time: 0:05:56); 6. Slight left to stay on US Hwy 285 S (Distance: 11.2 miles, Est. Time: 0:13:47); 7. Turn right onto Higby Hole Rd (Distance: 3.3 miles, Est. Time: 0:05:48); 8. Turn right onto Black River Village Rd (Distance: 1.5 miles, Est. Time: 0:02:10); 9. Turn left (Distance: 0.8 miles, Est. Time: 0:02:30); Total Distance: 19.2 miles, Total Est. Time: 0:32:12; Rig is located 755.3 feet to the S.",5708
3001544851,PERMIAN BASIN,New Mexico,EDDY (NM),SE,land,"United Drilling, Inc.",United 50,National 80B,1000,,,"DELAWARE ENERGY, LLC",HOOD SWD,001,5/27/2018,32.2152962,-104.2389837,TEMP842348106,4/6/2018,,13900,NewDrill,SALTWATER INJECTION,V,SWD,DEVONIAN,0,13,24S,26.0E,,,,,Jesus Salazar,575-623-7730,Uniteddrilling@aol.com,400 N. Pennsylvania Road,Roswell,NM,88201,,SARAH PRESLEY,4323125251,405 N. MARIENFELD SUITE 250,MIDLAND,TX,79701,N,"1. Head north on N Canal St toward W Stevens St (Distance: 305.1 feet, Est. Time: 0:00:12); 2. Turn left onto W Stevens St (Distance: 219.8 feet, Est. Time: 0:00:21); 3. Turn left at the 1st cross street toward W Mermod St (Distance: 429.8 feet, Est. Time: 0:01:08); 4. Turn left at the 1st cross street onto W Mermod St (Distance: 180.4 feet, Est. Time: 0:00:20); 5. Turn right at the 1st cross street onto S Canal St/US Hwy 285 SContinue to follow US Hwy 285 SPass by O'Reilly Auto Parts (on the right) (Distance: 2.2 miles, Est. Time: 0:05:56); 6. Continue straight onto US-180 W/US-62 WPass by Pizza Inn (on the right) (Distance: 0.3 miles, Est. Time: 0:00:40); 7. Turn left onto Old Cavern Hwy (Distance: 10.8 miles, Est. Time: 0:16:46); 8. Slight right onto Black River Village Rd (Distance: 1.6 miles, Est. Time: 0:01:58); Total Distance: 15.0 miles, Total Est. Time: 0:27:21; Rig is located 839.2 feet to the NW.",5582
3002543868,PERMIAN BASIN,New Mexico,LEA (NM),SE,land,"Helmerich & Payne, Inc.",H&P 647,,,,Skid,"EOG RESOURCES, INC",FOX 30 STATE COM,702H,5/5/2018,32.100348,-103.5073514,TEMP1849827943,6/16/2017,,19980,NewDrill,OIL,H,BOBCAT DRAW,UPPER WOLFCAMP,0,30,25.0S,34.0E,,,,,Clyde Hebert,918-742-5531,Clyde.Hebert@hpidc.com,1437 South Boulder Ave,Tulsa,OK,74119,http://www.hpinc.com,STAN WAGNER,,PO BOX 2267 ,MIDLAND,TX,79702,N,"1. Head south on Main St toward E Ave D (Distance: 19.7 feet, Est. Time: 0:00:01); 2. Continue straight to stay on Main StPass by Wells Fargo Bank (on the left) (Distance: 1.0 miles, Est. Time: 0:02:26); 3. Turn right onto NM-483/W Ave R (Distance: 1033.5 feet, Est. Time: 0:00:40); 4. Turn left onto NM-483 (Distance: 16.0 miles, Est. Time: 0:16:44); 5. Turn left onto US-180 E/US-62 E (Distance: 5.0 miles, Est. Time: 0:04:41); 6. Turn right onto NM-8 S (Distance: 15.7 miles, Est. Time: 0:16:36); 7. Turn right onto NM-176 W (Distance: 2.0 miles, Est. Time: 0:02:18); 8. Turn left onto Weaver Rd (Distance: 5.0 miles, Est. Time: 0:05:57); 9. Turn right onto Delaware Basin Rd (Distance: 24.6 miles, Est. Time: 0:26:35); 10. Turn left onto NM-128 E (Distance: 6.5 miles, Est. Time: 0:06:26); 11. Turn right onto Battle Axe Rd (Distance: 0.3 miles, Est. Time: 0:00:55); 12. Turn right to stay on Battle Axe Rd (Distance: 2.6 miles, Est. Time: 0:04:26); 13. Turn right to stay on Battle Axe Rd (Distance: 7.5 miles, Est. Time: 0:12:36); 14. Turn right (Distance: 0.7 miles, Est. Time: 0:02:28); Total Distance: 87.4 miles, Total Est. Time: 1:42:49; Rig is located 0.8 miles to the NE.",5522
3002544614,PERMIAN BASIN,New Mexico,LEA (NM),SE,land,"Helmerich & Payne, Inc.",H&P 650,VARCO ADS-20SD,1500,,,"CENTENNIAL RESOURCE PRODUCTION, LLC",TOUR BUS 23 STATE,505H,4/27/2018,32.3837403,-103.4343098,TEMP30931188,3/23/2018,,14516,NewDrill,OIL,H,OJO CHISO,BONE SPRING,0,23,22S,34.0E,,,,,Clyde Hebert,918-742-5531,Clyde.Hebert@hpidc.com,1437 South Boulder Ave,Tulsa,OK,74119,http://www.hpinc.com,HEIDI KACZOR,7204991422,"1001 17TH STREET, SUITE 1800 ",DENVER,CO,80202,N,"1. Head south on Main St toward E Ave D (Distance: 19.7 feet, Est. Time: 0:00:01); 2. Continue straight to stay on Main StPass by Wells Fargo Bank (on the left) (Distance: 1.0 miles, Est. Time: 0:02:26); 3. Turn right onto NM-483/W Ave R (Distance: 1033.5 feet, Est. Time: 0:00:40); 4. Turn left onto NM-483 (Distance: 16.0 miles, Est. Time: 0:16:44); 5. Turn right onto US-180 W/US-62 W (Distance: 10.7 miles, Est. Time: 0:09:29); 6. Turn left onto County Rd 27-A (Distance: 7.9 miles, Est. Time: 0:09:44); 7. Turn left onto NM-176 E (Distance: 7.0 miles, Est. Time: 0:07:17); 8. Turn right onto San Simon Rd (Distance: 7.8 miles, Est. Time: 0:19:16); Total Distance: 50.6 miles, Total Est. Time: 1:05:37; Rig is located 0.5 miles to the E.",5523
3002544192,PERMIAN BASIN,New Mexico,LEA (NM),SE,land,"Helmerich & Payne, Inc.",H&P 657,,1500,,Skid,OXY USA INCORPORATED,MESA VERDE 18 FEDERAL COM,003H,5/31/2018,32.2109341,-103.7150358,TEMP887532784,11/13/2017,,15292,NewDrill,OIL,H,MESA VERDE,BONE SPRING,0,18,24.0S,32.0E,,,,,,918-742-5531,,1437 South Boulder Ave,Tulsa,OK,74119,http://www.hpinc.com,DAVID STEWART,,5 GREENWAY PLAZA SUITE 110 ,HOUSTON,TX,77027,N,"1. Head south on Main St toward E Ave D (Distance: 19.7 feet, Est. Time: 0:00:01); 2. Continue straight to stay on Main StPass by Wells Fargo Bank (on the left) (Distance: 1.0 miles, Est. Time: 0:02:26); 3. Turn right onto NM-483/W Ave R (Distance: 1033.5 feet, Est. Time: 0:00:40); 4. Turn left onto NM-483 (Distance: 16.0 miles, Est. Time: 0:16:44); 5. Turn right onto US-180 W/US-62 W (Distance: 25.3 miles, Est. Time: 0:22:08); 6. Turn left onto Campbell Rd (Distance: 12.4 miles, Est. Time: 0:16:22); 7. Continue straight to stay on Campbell Rd (Distance: 593.8 feet, Est. Time: 0:00:12); 8. Continue onto Red Rd (Distance: 9.0 miles, Est. Time: 0:13:08); 9. Turn left onto NM-128 E (Distance: 1.4 miles, Est. Time: 0:01:28); 10. Turn right (Distance: 1.9 miles, Est. Time: 0:07:08); Total Distance: 67.4 miles, Total Est. Time: 1:20:17; Rig is located 0.7 miles to the E.",5524
3002544722,PERMIAN BASIN,New Mexico,LEA (NM),SE,land,"Patterson-UTI Drilling Company, LLC",Patterson 809,Alta Rig 1513,1500,AC,Walking,MATADOR PRODUCTION COMPANY,NORTHEAST KEMNITZ,233H,5/2/2018,32.90081,-103.5478419,TEMP649692905,4/23/2018,,16300,NewDrill,OIL,H,KEMNITZ,CISCO,0,22,16S,34.0E,,,,,Shanda Beyer,281-765-7100,Shanda.Beyer@patenergy.com,"450 Gears Road, Ste 500",Houston,TX,77067,http://www.patenergy.com,AVA MONROE,,"ONE LINCOLN CENTRE 5400 LBJ FREEWAY, STE 1500",DALLAS,TX,75240,N,"1. Head south on Main St toward E Ave D (Distance: 19.7 feet, Est. Time: 0:00:01); 2. Turn right at the 1st cross street onto US-82 W/W Ave DContinue to follow US-82 WPass by Dollar General (on the right) (Distance: 12.8 miles, Est. Time: 0:15:38); 3. Turn left (Distance: 1.8 miles, Est. Time: 0:06:06); 4. Continue straight (Distance: 0.4 miles, Est. Time: 0:01:27); 5. Slight left (Distance: 131.2 feet, Est. Time: 0:00:07); 6. Continue straightDestination will be on the left (Distance: 0.5 miles, Est. Time: 0:01:56); Total Distance: 15.5 miles, Total Est. Time: 0:25:15; Rig is located 264.1 feet to the N.",5451
3001544354,PERMIAN BASIN,New Mexico,EDDY (NM),SE,land,"Patterson-UTI Drilling Company, LLC",Patterson 815,Alta Rig 1513,1500,AC,Walking,CHEVRON USA INCORPORATED,HH SO 10 15 FED 002,002H,5/30/2018,32.0645942,-104.1842696,TEMP627884506,8/1/2017,,19000,NewDrill,GAS,H,PURPLE SAGE,WOLFCAMP,0,3,26.0S,27.0E,,,,,Shanda Beyer,281-765-7100,Shanda.Beyer@patenergy.com,"450 Gears Road, Ste 500",Houston,TX,77067,http://www.patenergy.com,DORIAN K FUENTES,,6301 DEAUVILLE BLVD. ,MIDLAND,TX,79706,N,"1. Head north on N Canal St toward W Stevens St (Distance: 305.1 feet, Est. Time: 0:00:12); 2. Turn left onto W Stevens St (Distance: 219.8 feet, Est. Time: 0:00:21); 3. Turn left at the 1st cross street toward W Mermod St (Distance: 429.8 feet, Est. Time: 0:01:08); 4. Turn left at the 1st cross street onto W Mermod St (Distance: 180.4 feet, Est. Time: 0:00:20); 5. Turn right at the 1st cross street onto S Canal St/US Hwy 285 SContinue to follow US Hwy 285 SPass by O'Reilly Auto Parts (on the right) (Distance: 2.2 miles, Est. Time: 0:05:56); 6. Slight left to stay on US Hwy 285 S (Distance: 11.2 miles, Est. Time: 0:13:47); 7. Turn right onto Higby Hole Rd (Distance: 3.3 miles, Est. Time: 0:05:48); 8. Turn right onto Black River Village Rd (Distance: 1.0 miles, Est. Time: 0:01:29); 9. Turn left onto Roadrunner Rd (Distance: 9.2 miles, Est. Time: 0:15:26); 10. Turn left to stay on Road Runner Rd (Distance: 4.9 miles, Est. Time: 0:09:34); 11. Turn right onto Whites City Rd (Distance: 964.6 feet, Est. Time: 0:00:43); Total Distance: 32.2 miles, Total Est. Time: 0:54:44; Rig is located 1227.4 feet to the N.",5678
3001543620,PERMIAN BASIN,New Mexico,EDDY (NM),SE,land,"Double K Drilling, LLC",Double K 7,HRI 1000-E,1000,,,COG OPERATING LLC,CHIMAY 6 FEDERAL COM,015H,5/27/2018,32.8625653,-104.0197056,TEMP634962399,1/25/2016,,8784,NewDrill,OIL,H,LOCO HILLS,GLORIETA-YESO,0,6,17.0S,30.0E,,,,,Jerry Lawson,940-567-3147,,P. O. Box 395,Jacksboro,TX,76458,,KELLY J. HOLLY,,ONE CONCHO CENTER 600 W. ILLINOIS AVE,MIDLAND,TX,79701,N,1. Head north on N Canal St to,5645
3002544188,PERMIAN BASIN,New Mexico,LEA (NM),SE,land,"Helmerich & Payne, Inc.",H&P 556,,,,,OXY USA INCORPORATED,MESA VERDE 18 7 FEDERAL COM,006H,5/28/2018,32.2112221,-103.7089493,TEMP475125091,10/30/2017,,20667,NewDrill,OIL,H,MESA VERDE,BONE SPRING,0,18,24.0S,32.0E,,,,,,918-742-5531,,1437 South Boulder Ave,Tulsa,OK,74119,http://www.hpinc.com,KELLEY MONTGOMERY,,5 GREENWAY PLAZA SUITE 110 ,HOUSTON,TX,77027,N,"1. Head south on Main St toward E Ave D (Distance: 19.7 feet, Est. Time: 0:00:01); 2. Continue straight to stay on Main StPass by Wells Fargo Bank (on the left) (Distance: 1.0 miles, Est. Time: 0:02:26); 3. Turn right onto NM-483/W Ave R (Distance: 1033.5 feet, Est. Time: 0:00:40); 4. Turn left onto NM-483 (Distance: 16.0 miles, Est. Time: 0:16:44); 5. Turn right onto US-180 W/US-62 W (Distance: 25.3 miles, Est. Time: 0:22:08); 6. Turn left onto Campbell Rd (Distance: 12.4 miles, Est. Time: 0:16:22); 7. Continue straight to stay on Campbell Rd (Distance: 593.8 feet, Est. Time: 0:00:12); 8. Continue onto Red Rd (Distance: 9.0 miles, Est. Time: 0:13:08); 9. Turn left onto NM-128 E (Distance: 1.4 miles, Est. Time: 0:01:28); 10. Turn right (Distance: 1.9 miles, Est. Time: 0:06:53); Total Distance: 67.4 miles, Total Est. Time: 1:20:02; Rig is located 1.3 miles to the E.",5655
3001544528,PERMIAN BASIN,New Mexico,EDDY (NM),SE,land,"Helmerich & Payne, Inc.",H&P 656,,,,,OXY USA INCORPORATED,NIMITZ MDP1 12 FEDERAL COM,006H,5/13/2018,32.2260832,-103.8277582,TEMP1533308039,11/2/2017,,20032,NewDrill,OIL,H,COTTON DRAW,BONE SPRING,0,12,24.0S,30.0E,,,,,,918-742-5531,,1437 South Boulder Ave,Tulsa,OK,74119,http://www.hpinc.com,SARAH MITCHELL,,5 GREENWAY PLAZA SUITE 110 ,HOUSTON,TX,77027,N,"1. Head north on N Canal St toward W Stevens St (Distance: 305.1 feet, Est. Time: 0:00:12); 2. Turn right onto W Stevens St (Distance: 777.6 feet, Est. Time: 0:01:28); 3. Turn right onto N Main St (Distance: 856.3 feet, Est. Time: 0:00:32); 4. Continue straight onto S Main St (Distance: 400.3 feet, Est. Time: 0:00:20); 5. Turn left onto E Greene St (Distance: 2.0 miles, Est. Time: 0:02:46); 6. Turn right onto Refinery Rd (Distance: 12.5 miles, Est. Time: 0:16:21); 7. Turn left onto NM-31 (Distance: 2.4 miles, Est. Time: 0:03:06); 8. Turn right onto NM-128 E (Distance: 12.8 miles, Est. Time: 0:12:56); 9. Turn right onto Twin Wells Rd (Distance: 0.5 miles, Est. Time: 0:01:03); 10. Continue straight to stay on Twin Wells Rd (Distance: 4.8 miles, Est. Time: 0:06:56); 11. Turn right (Distance: 1.0 miles, Est. Time: 0:05:08); Total Distance: 36.6 miles, Total Est. Time: 0:50:48; Rig is located 570.7 feet to the SW.",5656
3001544964,PERMIAN BASIN,New Mexico,EDDY (NM),SE,land,"Patterson-UTI Drilling Company, LLC",Patterson 562,NOV DSGD-375-AC,1500,,Walking,MEWBOURNE OIL CO,OXBOW 26 25 W1DA FEDERAL COM,001H,5/28/2018,32.1069271,-104.0653076,TEMP53375895,5/11/2018,,19525,NewDrill,GAS,H,PURPLE SAGE,WOLFCAMP,0,26,25S,28.0E,,,,,,281-765-7100,,"450 Gears Road, Ste 500",Houston,TX,77067,http://www.patenergy.com,BRADLEY BISHOP,,4801 BUSINESS PARK BLVD. ,HOBBS,NM,88240,N,"1. Head north on N Canal St toward W Stevens St (Distance: 305.1 feet, Est. Time: 0:00:12); 2. Turn left onto W Stevens St (Distance: 219.8 feet, Est. Time: 0:00:21); 3. Turn left at the 1st cross street toward W Mermod St (Distance: 429.8 feet, Est. Time: 0:01:08); 4. Turn left at the 1st cross street onto W Mermod St (Distance: 180.4 feet, Est. Time: 0:00:20); 5. Turn right at the 1st cross street onto S Canal St/US Hwy 285 SContinue to follow US Hwy 285 SPass by O'Reilly Auto Parts (on the right) (Distance: 2.2 miles, Est. Time: 0:05:56); 6. Slight left to stay on US Hwy 285 S (Distance: 23.3 miles, Est. Time: 0:27:11); Total Distance: 25.7 miles, Total Est. Time: 0:35:08; Rig is located 0.7 miles to the E.",5831
3001544681,PERMIAN BASIN,New Mexico,EDDY (NM),SE,land,JDC Drilling Company,JDC 7,,,,,"CHISHOLM ENERGY OPERATING, LLC",SALT DRAW 10 STATE COM WCB,002H,4/30/2018,32.151299,-104.0710237,TEMP2038962057,2/16/2018,,15795,NewDrill,GAS,H,PURPLE SAGE,WOLFCAMP,0,10,25S,28.0E,,,,,,405-835-2790,,3801 S Bryant Ave,Oklahoma City,OK,73115,jdcdrilling.com,JENNIFER ELROD,,801 CHERRY ST. SUITE 1200 - UNIT 20,FORT WORTH,TX,76102,N,1. Head north on N Canal St to,5826
3001544862,PERMIAN BASIN,New Mexico,EDDY (NM),SE,land,McVay Drilling Company,McVay 8,National 80-B,1200,MECH,,COG OPERATING LLC,ROADRUNNER FEDERAL COM,003H,5/21/2018,32.0940184,-104.2486293,TEMP1486802514,4/6/2018,,17510,NewDrill,OIL,H,COTTONWOOD DRAW,BONE SPRING,0,25,25S,26.0E,,,,,Michael McVay,675-397-3311,michael.mcvay@mcvaydrilling.com,401 E. Bender,Hobbs,NM,88241,http://www.cal-ray.com,MAYTE REYES,,ONE CONCHO CENTER 600 W. ILLINOIS AVE,MIDLAND,TX,79701,N,1. Head north on N Canal St to,700
3001544919,PERMIAN BASIN,New Mexico,EDDY (NM),SE,land,"Nabors Industries, Ltd.",Nabors M55,SJ Petroleum JC30DB,1000,AC,,"CHISHOLM ENERGY OPERATING, LLC",COTTONWOOD 29 32 FEDERAL COM WCA,009H,5/10/2018,32.0202354,-104.3196117,TEMP259557520,4/20/2018,,15132,NewDrill,GAS,H,PURPLE SAGE,WOLFCAMP,0,29,26S,26.0E,,,,,Chris Crownover,281-874-0035,Chris.Crownover@nabors.com,"515 West Greens Road, Ste 1000",Houston,TX,77067,http://www.nabors.com,JENNIFER ELROD,,801 CHERRY ST. SUITE 1200 - UNIT 20,FORT WORTH,TX,76102,N,"1. Head north on N Canal St toward W Stevens St (Distance: 305.1 feet, Est. Time: 0:00:12); 2. Turn left onto W Stevens St (Distance: 219.8 feet, Est. Time: 0:00:21); 3. Turn left at the 1st cross street toward W Mermod St (Distance: 429.8 feet, Est. Time: 0:01:08); 4. Turn left at the 1st cross street onto W Mermod St (Distance: 180.4 feet, Est. Time: 0:00:20); 5. Turn right at the 1st cross street onto S Canal St/US Hwy 285 SContinue to follow US Hwy 285 SPass by O'Reilly Auto Parts (on the right) (Distance: 2.2 miles, Est. Time: 0:05:56); 6. Continue straight onto US-180 W/US-62 WPass by Pizza Inn (on the right) (Distance: 23.6 miles, Est. Time: 0:23:16); 7. Turn left (Distance: 593.8 feet, Est. Time: 0:01:35); 8. Turn right (Distance: 1.2 miles, Est. Time: 0:03:20); 9. Turn left at the 1st cross street onto Dillahunty Rd (Distance: 8.0 miles, Est. Time: 0:13:06); 10. Turn right to stay on Dillahunty Rd (Distance: 1.9 miles, Est. Time: 0:11:32); 11. Continue straight (Distance: 511.8 feet, Est. Time: 0:00:38); Total Distance: 37.3 miles, Total Est. Time: 1:01:24; Rig is located 811.0 feet to the E.",885
3001544591,PERMIAN BASIN,New Mexico,EDDY (NM),SE,land,"Helmerich & Payne, Inc.",H&P 393,Varco ADS-20SD,1500,AC,,CIMAREX ENERGY CO.,MEDWICK 32 FEDERAL COM,004H,5/16/2018,31.9986235,-104.2147308,TEMP497182180,12/5/2017,,14679,NewDrill,OIL,H,WC-015 G-04 S262625B,BONE SPRING,,32,26.0S,27.0E,,,,,Clyde Hebert,918-742-5531,Clyde.Hebert@hpidc.com,1437 South Boulder Ave,Tulsa,OK,74119,http://www.hpinc.com,ARICKA EASTERLING,9182951658,202 S. CHEYENNE AVE. SUITE 1000,TULSA,OK,74103,N,"1. Head north on N Canal St toward W Stevens St (Distance: 305.1 feet, Est. Time: 0:00:12); 2. Turn left onto W Stevens St (Distance: 219.8 feet, Est. Time: 0:00:21); 3. Turn left at the 1st cross street toward W Mermod St (Distance: 429.8 feet, Est. Time: 0:01:08); 4. Turn left at the 1st cross street onto W Mermod St (Distance: 180.4 feet, Est. Time: 0:00:20); 5. Turn right at the 1st cross street onto S Canal St/US Hwy 285 SContinue to follow US Hwy 285 SPass by O'Reilly Auto Parts (on the right) (Distance: 2.2 miles, Est. Time: 0:05:56); 6. Slight left to stay on US Hwy 285 S (Distance: 26.5 miles, Est. Time: 0:30:37); 7. Turn right onto Whites City Rd (Distance: 3.1 miles, Est. Time: 0:05:46); 8. Turn leftEntering Texas (Distance: 4.5 miles, Est. Time: 0:16:14); 9. Turn rightPassing through New MexicoEntering Texas (Distance: 4.6 miles, Est. Time: 0:14:06); 10. Turn rightEntering New Mexico (Distance: 1.3 miles, Est. Time: 0:03:47); Total Distance: 42.3 miles, Total Est. Time: 1:18:27; Rig is located 818.9 feet to the S.",528
